uvvi,gscpi,gdp_growth,inflation_rate,date
0.004135653528389109,-0.24780228086219652,0.0399351,0.002059526777464349,1998-01-01
0.004846064559512049,-0.42451707123962973,0.0368582,0.003286568620465502,1998-04-01
0.011998590900111536,-0.8883074046090766,0.050070199999999995,0.005114463434513716,1998-07-01
0.005822631285434661,-0.6838740777003159,0.0638498,0.004681535267883952,1998-10-01
-0.0017699486985740531,-0.150254888374403,0.0373937,0.003648899983905274,1999-01-01
0.004782853047730813,-0.29557736170598364,0.0332359,0.007459363284398002,1999-04-01
0.0020319205850007163,-0.4706930315012123,0.052709599999999995,0.007403534827051139,1999-07-01
-0.0007624699865641515,-0.15698678237633354,0.06509140000000001,0.0073491250768960015,1999-10-01
0.0011736992975986589,-0.4256244199262215,0.014466099999999999,0.009846673674318573,2000-01-01
0.0022519040243400568,0.16093807357690468,0.0722073,0.007807770271882397,2000-04-01
0.0012814506099653178,0.050941624031712186,0.0040741,0.009097324824081099,2000-07-01
0.0013413947942796007,-0.7016491650750196,0.0238238,0.007103611238639118,2000-10-01
-0.0019211066154991574,-0.7309273533665506,-0.013149,0.009520446007093675,2001-01-01
-0.0033233392279148712,-0.903212145745497,0.0249098,0.00698690473191288,2001-04-01
-0.0019436461848572433,-0.7197733097680729,-0.0160639,0.002818756506716369,2001-07-01
0.0032581242560629406,-1.227643641068638,0.0109877,-0.0007507040666707709,2001-10-01
0.00416525484161856,-0.5701691906480552,0.0333121,0.003187590288069586,2002-01-01
-0.006557061793276864,-0.48075018004889486,0.024416000000000004,0.007831476194363418,2002-04-01
-0.007740106435900396,-1.0319265556225679,0.0162317,0.0053715049964626616,2002-07-01
-0.0025054314521845513,-0.8614141971795414,0.00495574,0.005894473310538828,2002-10-01
-0.011757538960867694,-0.3987757461556208,0.0209937,0.010232319293510983,2003-01-01
0.01262722356570071,-0.27248661392044166,0.035289100000000004,-0.0016374056896966138,2003-04-01
0.010769261513991232,0.015796922112569316,0.0659767,0.007437313193439543,2003-07-01
-0.0020322404902218447,-0.34081555643381134,0.0461672,0.003788225652000321,2003-10-01
0.003183877141935021,-0.29982732135071866,0.0225968,0.00842694439351721,2004-01-01
0.0034377429990526767,0.38496103359775397,0.030886399999999998,0.007825221521833292,2004-04-01
0.00029737211583125145,-0.131088261008752,0.037747,0.006357074850793509,2004-07-01
0.00251210902564362,-0.17733109009517853,0.0406116,0.010680132098550565,2004-10-01
0.010337703760331754,-0.16190469647922365,0.0441183,0.005037967310136615,2005-01-01
-0.0019464761677436087,-1.0583165697783092,0.019667900000000002,0.006735193971835862,2005-04-01
0.0011961341004588972,-0.419589993850892,0.031229,0.015032567412239572,2005-07-01
0.010540709655230204,-0.4726157688479237,0.0221475,0.009281815795624482,2005-10-01
-0.004471635673590139,-0.4988186294414918,0.0534564,0.005194281595753303,2006-01-01
-0.00207326994744228,0.11635881980912777,0.0103573,0.008983589117925739,2006-04-01
-0.0014962625267204155,-0.22454720889693147,0.00597253,0.0093959300997426,2006-07-01
0.006714848350930651,-0.3935463446270837,0.0342486,-0.0041104866753824965,2006-10-01
0.004646009739988706,-0.7228219795949061,0.0120096,0.009756371679275233,2007-01-01
